name,url,icon
"aws","https://aws.amazon.com/jp/blogs/aws/feed/","https://i.imgur.com/Z5YLUiS.png"
"classmethod","https://dev.classmethod.jp/feed/","https://i.imgur.com/vFu9omP.png"
"sakura","https://knowledge.sakura.ad.jp/feed/","https://i.imgur.com/cMTwsBH.jpg"
"heartbeats","https://heartbeats.jp/hbblog/atom.xml","https://i.imgur.com/JLuK99W.png"
"dsas","http://dsas.blog.klab.org/index.rdf",""
"voyage","https://techlog.voyagegroup.com/rss",""
"google","http://feeds.feedburner.com/GoogleJapanDeveloperRelationsBlog?format=xml",""
"Aiming","https://developer.aiming-inc.com/feed/",""
"LINE","https://engineering.linecorp.com/ja/feed/",""
"DeNA","https://engineer.dena.com/index.xml",""
"GREE","https://labs.gree.jp/blog/feed/",""
"CyberAgent","https://developers.cyberagent.co.jp/blog/feed/",""
"cookpad","https://techlife.cookpad.com/rss",""
"hatena","https://developer.hatenastaff.com/rss",""
"mixi","https://medium.com/feed/mixi-developers",""
"FLINTERS","https://labs.septeni.co.jp/rss",""
"GMO","https://blog.gmo.media/feed/",""
